id,primary_name,overture_primary_category,top_level_category,confidence,basic_category,operating_status,names_json,addresses_json,brand_json,llm_top_level_category
b5b2c173-4ad6-40ba-8ee0-0feb68d108ae,The Walt Disney Family Museum,museum,attractions_and_activities,0.985152006149292,museum,open,"{ ""primary"": ""The Walt Disney Family Museum"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""104 Montgomery St"", ""locality"": ""San Francisco"", ""postcode"": ""94129"", ""region"": ""CA"", ""country"": ""US"" } ]",,attractions_and_activities
357b7157-0b59-41df-8cec-12e70de7aeed,MaMo,restaurant,eat_and_drink,0.971729815006256,restaurant,open,"{ ""primary"": ""MaMo"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""3659 Buchanan St"", ""locality"": ""San Francisco"", ""postcode"": ""94123-1708"", ""region"": ""CA"", ""country"": ""US"" } ]",,eat_and_drink
cfbd862e-a558-42fa-b93d-fbae014228a2,Golden Gate National Park,campground,accommodation,0.77,campground,open,"{ ""primary"": ""Golden Gate National Park"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""1 Marina Blvd"", ""locality"": ""San Francisco"", ""postcode"": ""94123"", ""region"": ""CA"", ""country"": ""US"" } ]",,attractions_and_activities
caa2ce48-568b-417e-90dc-8c8e87ccb8e5,Lover's Lane Trail Presidio,park,attractions_and_activities,0.9735918045043944,park,open,"{ ""primary"": ""Lover's Lane Trail Presidio"", ""common"": null, ""rules"": null }","[ { ""freeform"": null, ""locality"": ""San Francisco"", ""postcode"": null, ""region"": ""CA"", ""country"": ""US"" } ]",,attractions_and_activities
118e89b4-cf25-4e4a-8014-d0dac99fa36e,Golden Gate Bridge Vista Point South,landmark_and_historical_building,attractions_and_activities,0.9738531112670898,historic_site,open,"{ ""primary"": ""Golden Gate Bridge Vista Point South"", ""common"": null, ""rules"": null }","[ { ""freeform"": null, ""locality"": ""San Francisco"", ""postcode"": ""94129"", ""region"": ""CA"", ""country"": ""US"" } ]",,structure_and_geography
ea5fc972-9859-4ba5-8728-d42ef6932aa0,Battery Crosby,landmark_and_historical_building,attractions_and_activities,0.9500626074407352,historic_site,open,"{ ""primary"": ""Battery Crosby"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""Fort Winfield Scott, Lincoln Blvd"", ""locality"": ""San Francisco"", ""postcode"": ""94129"", ""region"": ""CA"", ""country"": ""US"" } ]",,attractions_and_activities
8b1322a8-65f2-4818-b748-1983057e52e7,Presidio Beach,park,attractions_and_activities,0.6392360292383872,park,open,"{ ""primary"": ""Presidio Beach"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""1199 E Beach"", ""locality"": ""San Francisco"", ""postcode"": ""94129-1605"", ""region"": ""CA"", ""country"": ""US"" } ]",,attractions_and_activities
dc2db241-7d73-4c2a-a6e0-6503580a044a,Cow Hollow School,preschool,education,0.77,preschool,open,"{ ""primary"": ""Cow Hollow School"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""65 Funston Ave"", ""locality"": ""San Francisco"", ""postcode"": ""94129"", ""region"": ""CA"", ""country"": ""US"" } ]",,education
446c20d1-f487-4043-9583-f727a752d50e,Kirby Cove Campground,campground,accommodation,0.9676229953765868,campground,open,"{ ""primary"": ""Kirby Cove Campground"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""948 Fort Barry"", ""locality"": ""Sausalito"", ""postcode"": ""94965"", ""region"": ""CA"", ""country"": ""US"" } ]",,attractions_and_activities
f928f380-c391-4379-9f1c-ed3421e88b94,United States Postal Service,shipping_center,professional_services,0.9471,shipping_center,open,"{ ""primary"": ""United States Postal Service"", ""common"": null, ""rules"": null }","[ { ""freeform"": ""3749 Buchanan St"", ""locality"": ""San Francisco"", ""postcode"": ""94123"", ""region"": ""CA"", ""country"": ""US"" } ]",,public_service_and_government
